"";"m1";"m2";"chr";"pos";"lod"
"1";"Sema7a";"sdcbp";"4";6;5,65934779560796
"2";"Dmbx1";"Gapdh";"6";125,000007;3,36201748329442
"3";"Mlh1";"sdcbp";"4";6;5,97330860563549
"4";"Cand1";"Gns";"10";121,000007;4,11930178584755
"5";"Zfp553";"Ptma";"1";86,000005;3,57483446661276
"6";"Zfp553";"Rpl34";"3";130,000006;3,47187457111854
"7";"Hlcs";"Rpl34";"3";130,000006;3,0972250158571
"8";"Hlcs";"spp1";"5";104,000004;3,49036432831483
"9";"Pde11a";"Rps3a1";"3";86,000003;3,31503786464951
"10";"Mrto4";"Ell2";"13";75,000004;3,20186756579661
"11";"Dlc1";"arpc1b";"5";145,000006;3,19943014969611
"12";"AU015836";"sdcbp";"4";6;4,93220680656422
"13";"Gas7";"arpc1b";"5";145,000006;3,0769807510564
"14";"Gas7";"Pik3r5";"11";68,000005;7,326218715957
"15";"Def8";"Wdr1";"5";38,000001;3,38999306555139
"16";"Rgn";"spp1";"5";104,000004;7,16003513620711
"17";"Arhgef17";"Ptprc";"1";138,000007;3,31972564016912
"18";"Arhgef17";"Lamp1";"8";13;3,17799324598822
"19";"Spcs3";"Hmgb2";"8";57,000002;6,22650953971961
"20";"Zfp433";"Cd44";"2";102,000004;3,65847531123879
"21";"Smc1b";"arpc1b";"5";145,000006;3,15755617467869
"22";"Mgat1";"arpc1b";"5";145,000006;4,04132579531479
"23";"Gstz1";"Rnf149";"1";39,000001;3,59187115703992
"24";"Gstz1";"Cox7a2l";"17";83,000004;4,02186170519222
"25";"Bcar1";"Plek";"11";16;4,44358097325468
"26";"Snora15";"Rps6";"4";86,000003;3,02588143671721
"27";"Pitpna";"Ptma";"1";86,000005;3,66341353866741
"28";"Pitpna";"sdcbp";"4";6;3,12396326972113
"29";"Gm10548";"sdcbp";"4";6;3,29905327612919
"30";"Tlr5";"Ccrl2";"9";111,000005;3,21356581144046
"31";"Zfp704";"Fabp5";"3";10;14,7662301639365
"32";"Slc1a1";"Rpl35a";"16";33,000002;6,53988898490768
"33";"Ovgp1";"Rpl10";"X";71,000001;3,2368010603473
"34";"Vipr1";"sdcbp";"4";6;4,29657767619782
"35";"Diap3";"Rps11";"7";45,000003;3,112477314546
"36";"Eif1ax";"Rpl10";"X";71,000001;3,08616143128553
"37";"Rgs20";"Rpl35a";"16";33,000002;3,26259296844536
"38";"Lipn";"Dbi";"1";120,000006;3,50863256407133
"39";"Rraga";"Itm2b";"14";73,000003;3,07787694146677
"40";"E2f3";"Tnfaip2";"12";111,000006;3,04833145995556
"41";"E2f3";"Klf6";"13";58,000003;3,27486446185065
"42";"Katnb1";"Rps3";"7";99,000006;3,39082772546324
"43";"Katnb1";"Tnfsf9";"17";57,000003;3,84974349854608
"44";"Tbcb";"Fau";"19";60,000003;3,26282659741172
"45";"Hist3h2ba";"spp1";"5";104,000004;4,27812652000716
"46";"Col15a1";"Rps4x";"X";99,000002;3,16353463413207
"47";"Rpl24";"Rpl24";"16";55,000003;3,28915777459122
"48";"Jak3";"Cd14";"18";36;3,78232178530768
"49";"Chdh";"spp1";"5";104,000004;4,41160434608386
"50";"Coro1b";"Rpl34";"3";130,000006;3,38879941057053
"51";"Lrp1";"Rpl24";"16";55,000003;3,32196485267873
"52";"Gm1821";"Tnip1";"11";54,000004;4,59010024285789
"53";"Fgf4";"arpc1b";"5";145,000006;4,13615575844786
"54";"Fndc8";"sdcbp";"4";6;7,13531712582968
"55";"Rnf144b";"Cd83";"13";43,000001;3,24889652561982
"56";"Pde1c";"sdcbp";"4";6;3,44646050143551
"57";"Pde1c";"Mtpn";"6";35,000001;3,82660490674067
"58";"Snord22";"Slc15a3";"19";10;5,49874861195428
"59";"Tnnt1";"sdcbp";"4";6;3,6808937081346
"60";"Txnl4a";"Hmgb2";"8";57,000002;3,19615435443771
"61";"Egr3";"Itm2b";"14";73,000003;4,49796656118548
"62";"Epb4.1l5";"Ptprc";"1";138,000007;4,82418095965179
"63";"Wdr25";"Slc15a3";"19";10;3,52990385882775
"64";"Snx10";"Slc6a6";"6";91,000004;3,18517960374425
"65";"Zscan2";"Psme2";"14";56,000002;3,68699059425965
"66";"Glt8d2";"Rpl24";"16";55,000003;3,21521248998118
"67";"Aptx";"Cox7a2l";"17";83,000004;3,5250194730897
"68";"E130307A14Rik";"Snx3";"10";42,000002;3,34137697261256
"69";"Kbtbd10";"Rpl24";"16";55,000003;3,14052576117699
"70";"Grina";"Atf4";"15";80,000002;8,42714387832045
"71";"Grina";"Rpl24";"16";55,000003;3,30808807209036
"72";"Cd22";"Ldha";"7";46,000004;4,1747266180365
"73";"Cd22";"Rtp4";"16";23,000001;4,20767637622409
"74";"Dusp3";"Nme2";"11";93,000008;3,85093799477374
"75";"Dusp3";"Bc005537";"13";24;3,39804534732059
"76";"Fam53c";"Cd14";"18";36;4,05154160058174
"77";"Snap23";"Calr";"8";84,000003;3,1046293389917
"78";"Adamts19";"sdcbp";"4";6;5,76543806181317
"79";"Olfr1151";"sdcbp";"4";6;6,49667599808334
"80";"Luc7l3";"Nme2";"11";93,000008;3,30154677499232
"81";"Thyn1";"Icam1";"9";21;4,74893949828029
"82";"Trim43a";"sdcbp";"4";6;5,49886460936256
"83";"Nub1";"spp1";"5";104,000004;3,67409784175433
"84";"Igfbp4";"Srgn";"10";61,000003;3,40194898817788
"85";"Igfbp4";"Nfkbia";"12";56,000002;3,3361396357768
"86";"Cd274";"Cd274";"19";29,000001;3,75617793803761
"87";"Igfals";"sdcbp";"4";6;3,77125354387791
"88";"Mn1";"spp1";"5";104,000004;8,40383622974381
"89";"Fbxo47";"Eif1";"11";100,00001;4,45296469837891
"90";"Abcg2";"Capg";"6";72,000003;3,68949130668896
"91";"Zfp697";"Ctss";"3";95,000004;3,08403794949236
"92";"Tyro3";"Cd36";"5";17;3,68144445974476
"93";"Gm20554";"isg15";"4";156,000006;3,20421513147181
"94";"Pgm5";"Apoe";"7";19;4,7679970170969
"95";"Arhgap9";"Nrp2";"1";62,000003;3,85129923116278
"96";"Ncf1";"Fau";"19";60,000003;3,48768440113025
"97";"Csde1";"Cd53";"3";106,000005;5,77025142191668
"98";"Ces3a";"spp1";"5";104,000004;8,40383622974382
"99";"Tram2";"Rpl7";"1";16;4,29409803977588
"100";"Dmwd";"Cyba";"8";122,000005;3,4760003183909
"101";"Erg";"sdcbp";"4";6;6,3596520124567
"102";"Psat1";"Atp6v0d1";"8";105,000004;3,27605854133179
"103";"Dyrk1a";"Ptma";"1";86,000005;3,41484966550813
"104";"Strap";"Snx3";"10";42,000002;3,50343896291345
"105";"Dbr1";"Rap2b";"3";61,000002;3,02386900039375
"106";"Hmgb1";"Srgn";"10";61,000003;3,15666417939059
"107";"Trim75";"sdcbp";"4";6;6,55397971881184
"108";"Itgam";"Aldoa";"7";126,000007;3,51969789860081
"109";"Akr1b10";"Ccl2";"11";82,000007;3,97204349982287
"110";"Nefh";"sdcbp";"4";6;6,49667599808334
"111";"Myh7b";"spp1";"5";104,000004;3,87939613480713
"112";"Plau";"Rnf149";"1";39,000001;3,51596177172588
"113";"Plau";"cxcl2";"5";90,000003;3,50344760005629
"114";"Plcb1";"Tfec";"6";16;3,39287087559835
"115";"Eno3";"Atp6v0d1";"8";105,000004;3,46364532852072
"116";"Sh3yl1";"Il10ra";"9";45,000002;3,00195486442046
"117";"Grm3";"sdcbp";"4";6;5,8234008443469
"118";"Rab34";"Cd53";"3";106,000005;3,01857077004023
"119";"Shc3";"sdcbp";"4";6;6,56625500409277
"120";"Gm5151";"spp1";"5";104,000004;5,14352149497299
"121";"Rxfp4";"spp1";"5";104,000004;7,45038562139298
"122";"Atp8b5";"spp1";"5";104,000004;7,33677769865352
"123";"Csk";"tnfrsf1b";"4";145,000005;3,73938088114221
"124";"Gm5114";"Rnf149";"1";39,000001;3,12203398764902
"125";"Gm5114";"Wdr1";"5";38,000001;3,80156350189984
"126";"Pmp22";"Tfec";"6";16;3,3725167964724
"127";"Col4a3bp";"Tnip1";"11";54,000004;3,18891659997421
"128";"Gm10767";"Iqgap1";"7";80,000005;4,49003349254004
"129";"Gm10767";"Sat1";"X";15;3,382484564242
"130";"Sorbs1";"Cd274";"19";29,000001;3,25633550027718
"131";"Rwdd2a";"Arpc2";"1";74,000004;3,48645432797386
"132";"Tor1b";"Rpl7a";"2";26;11,2001934658929
"133";"Arrdc3";"Rps15";"10";79,000004;3,0212978384362
"134";"Rnf219";"Hnrnpa2b1";"6";51,000002;3,85282890805664
"135";"Rnf219";"Irg1";"14";103,000005;3,14546484789265
"136";"Nkain1";"Rpl35";"2";38,000001;3,0852337374799
"137";"Plk2";"Rnf149";"1";39,000001;3,38500150311455
"138";"Plk2";"tnfrsf1b";"4";145,000005;3,13515291664353
"139";"Srebf1";"Tnip1";"11";54,000004;5,47020811662358
"140";"Gm10565";"sdcbp";"4";6;5,05363470579398
"141";"Acox2";"Rps3a1";"3";86,000003;3,57409257356068
"142";"Alkbh4";"Apoe";"7";19;4,45070132054614
"143";"Ms4a4b";"Slc15a3";"19";10;4,62976325413174
"144";"Sgms1";"Gns";"10";121,000007;3,07978791743392
"145";"Sgms1";"Slc15a3";"19";10;3,36498345326827
"146";"Slc3a2";"Pld3";"7";27,000001;3,09811205791397
"147";"Uox";"spp1";"5";104,000004;5,66537932887366
"148";"Snora75";"Cflar";"1";58,000002;5,53472366162117
"149";"Anxa11";"Rps24";"14";25;9,44093228372807
"150";"Abca2";"Rpl7a";"2";26;4,5721555820997
"151";"Abca2";"spp1";"5";104,000004;3,4853653362925
"152";"Ddx10";"Rplp1";"9";61,000003;3,27148758814307
"153";"Rsph9";"Rpl130";"15";34;3,06099505851299
"154";"Cox15";"Fau";"19";60,000003;3,30975747614394
"155";"Vamp8";"Slc6a6";"6";91,000004;3,24345783157203
"156";"Xirp2";"sdcbp";"4";6;5,02009937556823
"157";"Pvrl3";"Wdr1";"5";38,000001;3,44675530241022
"158";"Pln";"Msr1";"8";39,000001;3,58665203045992
"159";"Elp4";"spp1";"5";104,000004;3,01922444468961
"160";"Nlrp1b";"Rpl23a";"11";77,000006;12,418191480926
"161";"Uqcrc1";"rpl9";"5";65,000002;5,09713523004551
"162";"Pgam1";"Cd36";"5";17;3,09134924010156
"163";"Slc20a1";"Hnrnpa3";"2";75,000002;3,96279739424338
"164";"Olfr1133";"sdcbp";"4";6;6,49667599808334
"165";"Zfp735";"spp1";"5";104,000004;8,10542479717738
"166";"Sec14l2";"spp1";"5";104,000004;6,4035684244277
"167";"Plekhn1";"tnfrsf1b";"4";145,000005;3,93737775815089
"168";"Marcksl1";"Prdx1";"4";116,000004;5,61110240962509
"169";"Zfr2";"spp1";"5";104,000004;3,95564661244809
"170";"Zfr2";"Plek";"11";16;3,26988008230272
"171";"Acsbg1";"spp1";"5";104,000004;3,57472047138821
"172";"Samd4";"Aldoa";"7";126,000007;3,53724672250714
"173";"Dalrd3";"sdcbp";"4";6;6,80658316892548
"174";"Dlgap1";"Rps3a1";"3";86,000003;3,23260680544212
"175";"Tank";"Hnrnpa3";"2";75,000002;6,39699391468639
"176";"Olfr112";"Rps18";"17";34;3,56661118138778
"177";"Fam169a";"sdcbp";"4";6;4,42497290676258
"178";"Fam169b";"sdcbp";"4";6;3,95740312858948
"179";"Tnip3";"Srgn";"10";61,000003;3,35898142931993
"180";"Etv3";"Srgn";"10";61,000003;3,46245472587583
